created_at,field1,field2,field3,field4,field5,field6
2024-12-05 10:00:00,23.5,45.2,1,0.03,0.01,9.81
2024-12-05 10:05:00,23.7,45.0,0,0.02,0.00,9.82
2024-12-05 10:10:00,23.8,44.8,1,0.04,0.01,9.79
2024-12-05 10:15:00,24.0,44.5,1,0.05,0.02,9.80
2024-12-05 10:20:00,24.1,44.3,0,0.03,0.00,9.83
2024-12-05 10:25:00,24.3,44.0,1,0.06,0.03,9.78
2024-12-05 10:30:00,24.5,43.8,0,0.07,0.01,9.82
2024-12-05 10:35:00,24.7,43.6,1,0.08,0.02,9.81
2024-12-05 10:40:00,24.8,43.4,0,0.05,0.01,9.84
2024-12-05 10:45:00,25.0,43.2,1,0.04,0.02,9.80
